identifier,group,major_group,sub_group,membran_prediction,seq_start,number_cysteines,x_umap_2D,mature_multimere_pred,full_multimere_pred,Dimeric,y_umap_2D,x_umap_3D,y_umap_3D,z_umap_3D,x_pca_3D,y_pca_3D,z_pca_3D,variance,x_tsne_2D,y_tsne_2D,x_tsne_3D,y_tsne_3D,z_tsne_3D
None|Phci_3|Phascolarctos_cinereus,LYPD2,Ly-6,LYPD2,Membrane,MLG,10.0,-4.440081,2,2.0,False,5.9013677,-3.9451132,4.7359133,0.40138143,1.0603762548151154,0.0458348258236563,0.4069545142794077,,48.679634,35.675476,24.27717,-4.940335,3.2513857
None|Phci_4|Phascolarctos_cinereus,LYNX1,Ly-6,LYNX1,Membrane,MKF,10.0,-3.9587421,2,2.0,False,6.7361555,-3.4506984,5.178836,0.41752928,1.0342034651590235,0.0238947652574234,0.3102931369145573,,45.286232,34.89247,23.057192,-3.957118,0.013677367
None|Phci_5|Phascolarctos_cinereus,Non-human mammalian Ly6,Ly-6,Non-human mammalian Ly6,Membrane,MKL,11.0,-4.188762,4,4.0,False,6.8918977,-3.434418,5.643051,0.5576677,1.0702114594666212,-0.0739454534679644,0.3691892844676265,,43.096348,34.33431,20.883999,-2.5608888,0.9991527
None|Phci_6|Phascolarctos_cinereus,LYNX1,Ly-6,LYNX1,Membrane,MKS,10.0,-3.4702737,2,2.0,False,6.7405524,-3.0315344,5.251846,0.12224414,0.9284456281635424,0.0281146879600868,0.3735821131089907,,46.21376,32.417572,20.51739,-5.1092954,1.6123576
None|Phci_7|Phascolarctos_cinereus,Ly6D,Ly-6,Ly6D,Membrane,MKS,10.0,-3.8567858,4,4.0,False,6.590582,-3.2264197,5.23674,0.2186123,1.0059340860692605,-0.0329261401923766,0.3652124885443722,,46.381973,32.44491,20.836441,-5.09876,1.618925
None|Phci_8|Phascolarctos_cinereus,Ly6 unique,Ly-6,Ly6 unique,Membrane,MAS,11.0,-3.1735516,2,2.0,False,6.541885,-2.8002725,5.138377,-0.21258576,0.9598301716059436,-0.0060547058932764,0.4400731322100747,,48.075176,28.88684,19.997425,-7.3102093,2.1547246
None|Oran_1|Ornithorhynchus_anatinus,Ly6K,Ly-6,Ly6K,Membrane,MCH,10.0,-4.467007,4,4.0,False,7.1274242,-3.4677181,5.541686,0.8698035,1.088455880481308,-0.0647053084853123,0.1911990215989344,,43.04546,39.126274,21.753708,-0.48063695,3.132669
None|Oran_2|Ornithorhynchus_anatinus,Non-human mammalian Ly6,Ly-6,Non-human mammalian Ly6,Membrane,,11.0,-3.8134613,2,,False,7.088418,-3.0798154,5.6106563,0.22121765,1.0054775995531633,-0.1477159291994647,0.5760446884891308,,42.359943,33.55423,19.687716,-2.7189019,0.7977799
None|Oran_dn_10|Ornithorhynchus_anatinus,GPIHBP1,Ly-6,GPIHBP1,Membrane,MKA,10.0,-4.626425,4,4.0,False,6.724158,-3.824505,5.3594546,0.85356015,1.129180599832389,-0.0927793498632613,0.2493335457804201,,45.403854,38.298344,23.73817,-1.5281718,2.9170566
None|Oran_dn4|Ornithorhynchus_anatinus,SLURP2,Ly-6,SLURP2,Membrane,MKL,11.0,-3.7440746,4,4.0,False,6.1289454,-3.413221,5.100226,-0.10433926,1.0345399816258682,0.0581059157807363,0.4278675202984611,,48.547646,33.009983,23.322418,-5.9647756,0.5361908
None|Oran_dn5|Ornithorhynchus_anatinus,LYNX1,Ly-6,LYNX1,Membrane,MMR,11.0,-4.3503366,4,4.0,False,6.994626,-3.588941,5.7050614,0.64572644,1.0790151179302463,0.0309001637893352,0.3132789433459102,,44.36971,35.28726,22.615547,-3.0418136,-0.013404335
None|Oran1|Ornithorhynchus_anatinus,LYPD2,Ly-6,LYPD2,Membrane,MRP,11.0,-4.734805,2,2.0,False,6.1814933,-4.125976,4.8935676,0.9020441,1.085273621229961,-0.0268761506138597,0.3661169743483609,,47.922157,38.114967,25.993544,-3.0739799,3.2095892
None|Oran2|Ornithorhynchus_anatinus,SLURP1,Ly-6,SLURP1,Membrane,MKM,10.0,-4.654345,2,2.0,False,6.477823,-4.0619497,5.3654823,0.68277717,1.134627122122896,0.0404635830420089,0.3785302568868406,,46.481056,37.161205,24.988047,-2.9220266,1.4844418
None|Oran3|Ornithorhynchus_anatinus,PSCA,Ly-6,PSCA,Membrane,MRA,10.0,-4.402202,1,4.0,False,7.0887713,-3.6349967,5.8671036,0.5746624,1.1004287299577773,0.0142565495767057,0.3367691006460201,,43.298607,35.728947,22.012087,-1.9676046,0.11629932
None|Oran6|Ornithorhynchus_anatinus,Ly6D,Ly-6,Ly6D,Membrane,MKS,11.0,-4.199823,4,4.0,False,6.926634,-3.4188533,5.8316207,0.5253535,1.0100438044647897,-0.1025734150057128,0.3932934726758635,,43.037678,35.057423,21.183376,-2.004932,0.11122846
None|Oran7|Ornithorhynchus_anatinus,Non-human mammalian Ly6,Ly-6,Non-human mammalian Ly6,Membrane,MKV,12.0,-3.9227836,4,4.0,False,7.0975814,-3.2445133,5.6982245,0.38872936,1.0678630521944343,-0.0791687055699864,0.4604543195958834,,42.946247,34.20993,20.644842,-2.6095278,0.8468455
None|Oran8|Ornithorhynchus_anatinus,Ly6K,Ly-6,Ly6K,Membrane,MKL,10.0,-4.3705664,4,4.0,False,7.069174,-3.382988,5.458657,0.8255488,1.1000957607109905,-0.0619355475189057,0.1799104166444178,,43.048126,39.129578,21.756317,-0.48148853,3.1368139
None|Oran9|Ornithorhynchus_anatinus,Ly6H,Ly-6,Ly6H,Membrane,MGN,12.0,-3.3865159,2,2.0,False,6.652095,-2.8476512,4.826479,0.17508857,0.9484228739011156,-0.1441739640663363,0.3869294696789495,,47.002224,29.60076,21.351395,-5.033719,3.919531
None|Gaga_1|Gallus_gallus,PSCA,Ly-6,PSCA,Membrane,MKV,10.0,-2.7967472,2,2.0,False,6.536651,-2.7195258,5.0279775,-0.36915183,0.9169816273491512,0.0802540035811246,0.422423584307675,,49.238094,28.034246,19.831635,-7.801056,0.9767762
None|Gaga_2|Gallus_gallus,SLURP1,Ly-6,SLURP1,Membrane,MKM,10.0,-4.798975,2,2.0,False,6.0149293,-4.214569,4.842213,0.62538767,1.0606255640910014,-0.0610612443089158,0.3298745083516491,,48.861664,37.56184,26.315222,-4.0732718,2.3896408
None|Gaga_3|Gallus_gallus,LYPD2,Ly-6,LYPD2,Membrane,MKL,11.0,-4.328496,2,2.0,False,5.66552,-4.0913644,4.578368,0.17219765,1.0875197691045062,0.0676953127987542,0.3474892946611785,,49.94911,36.33626,25.49733,-5.7595897,2.5861292
None|Gaga_4|Gallus_gallus,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10.0,-2.4625127,2,2.0,False,5.2407284,-3.7721708,5.1213517,-1.1742486,1.025368199219311,0.292498501481289,0.4115857758968771,,54.164867,29.553556,23.777885,-8.635388,-1.6572177
None|Gaga_5|Gallus_gallus,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Membrane,MKT,11.0,-3.5583024,2,2.0,False,6.2464466,-3.057093,4.563668,0.04675418,0.978637437019363,-0.130361399010398,0.325264752246321,,47.947098,30.427717,21.93028,-7.351753,3.8360279
None|Gaga_6|Gallus_gallus,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,11.0,-3.4163387,2,2.0,False,5.6608467,-3.7096276,4.697334,-0.34553802,1.0870875976684684,0.1110614784843793,0.3940424364493349,,50.102257,32.62159,23.904394,-7.2683005,1.2179742
None|Gaga_7|Gallus_gallus,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,11.0,-3.4588296,2,2.0,False,5.451857,-3.7591267,4.461982,-0.34239075,1.0719632063814355,0.1061662000217023,0.3428595579493841,,50.588787,33.692333,24.942207,-7.7339783,2.298349
None|Gaga_8|Gallus_gallus,Ly6E,Ly-6,Ly6E,Secreted,MKA,11.0,4.119409,2,2.0,False,12.220232,4.2541485,7.452615,0.44334647,0.7342428418116783,0.2708025053825105,-0.1172742227551627,,-40.61627,24.729803,15.494179,6.6985416,5.2125835
None|Alsi_1|Alligator_sinensis,PSCA,Ly-6,PSCA,Membrane,MKV,11.0,-3.0551744,2,2.0,False,6.584,-2.5654943,5.101223,-0.3698621,0.96814035389099,0.0179147306368574,0.432466373638668,,49.457108,27.495247,18.997576,-7.4498773,0.779939
None|Alsi_10|Alligator_sinensis,Reptilian Ly6 group 6,Ly-6,Reptilian Ly6 group 6,Membrane,MKP,10.0,-3.5277152,2,2.0,False,6.2854304,-3.3012915,5.20809,-0.06081113,1.0228225117814815,-0.0253221448839268,0.3837663814825581,,47.658867,32.408432,21.804373,-5.8508053,1.2450436
None|Alsi_2|Alligator_sinensis,SLURP1,Ly-6,SLURP1,Membrane,MKA,11.0,-4.4916196,2,2.0,False,5.915592,-4.177024,4.9277596,0.33142456,1.063306161346305,0.0349519691085824,0.3283028443000721,,49.494106,37.22644,25.667728,-4.8772945,1.6837876
None|Alsi_3|Alligator_sinensis,LYPD2,Ly-6,LYPD2,Membrane,MRD,11.0,-4.7065086,4,2.0,False,6.1633224,-4.0978184,4.855719,0.8163637,1.1024702819789045,-0.0730018126624596,0.4001958627391221,,48.705986,38.522457,25.671461,-3.5927246,4.19261
None|Alsi_4|Alligator_sinensis,Ly6H,Ly-6,Ly6H,Membrane,MKA,12.0,-3.4393053,2,2.0,False,6.935576,-2.9230824,5.1635995,0.24627869,0.9808828911127996,-0.0493269834833074,0.3627775050552921,,43.902798,30.57419,18.504034,-5.8687887,2.5786822
None|Alsi_5|Alligator_sinensis,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10.0,-2.2692895,2,2.0,False,5.459755,-3.5813572,5.3175826,-1.2095499,1.0111763975179626,0.2644963574610167,0.4842759999092109,,54.13576,28.952333,22.779922,-8.943364,-1.848221
None|Alsi_6|Alligator_sinensis,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Membrane,MKT,10.0,-3.484463,2,2.0,False,6.3985767,-2.9540877,4.414746,0.023909612,0.9397323415106402,-0.1124815952880611,0.2984573733986666,,45.844494,27.88673,21.222254,-8.889697,4.7282166
None|Alsi_7|Alligator_sinensis,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKL,10.0,-3.4733727,2,2.0,False,5.7373524,-3.705189,4.901823,-0.22276567,1.085912834543879,0.1103914442285447,0.3331967652434843,,49.96277,33.172817,24.172625,-6.768039,1.7272562
None|Alsi_8|Alligator_sinensis,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MMK,11.0,-3.2438574,2,2.0,False,5.76106,-3.4143858,4.899576,-0.44194922,1.0533040258515791,0.0620739988223279,0.3942950142085177,,50.259777,32.062458,23.079033,-7.5124106,1.5884156
None|Alsi_9|Alligator_sinensis,Ly6E,Ly-6,Ly6E,Secreted,MRT,10.0,4.1898203,2,2.0,False,12.135522,4.369958,7.4652524,0.44915476,0.7047769226891718,0.181384935747854,-0.0406434726400615,,-40.235146,24.123396,14.59001,7.0957065,5.1256967
None|Chmy_1|Chelonia_mydas,PSCA,Ly-6,PSCA,Membrane,,11.0,-3.0392592,2,,False,6.5286493,-2.7679214,5.3094087,-0.2652573,1.0092224417426892,0.0681013958678249,0.4049261859277158,,50.229435,27.591799,19.793598,-7.2017474,-0.099172175
None|Chmy_10|Chelonia_mydas,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,10.0,-3.3527331,2,2.0,False,5.6321783,-3.5583565,4.6248727,-0.42057675,1.0661952570969802,0.0691233837210446,0.3813770214562516,,50.49452,32.862694,23.903145,-7.5583363,2.0358586
None|Chmy_11|Chelonia_mydas,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,10.0,-3.272019,2,2.0,False,5.4475536,-3.5901463,4.6483607,-0.45594943,1.0188758004250351,0.0946235876894437,0.4006781605700985,,50.734695,32.600758,24.268478,-8.106714,1.6680409
None|Chmy_12|Chelonia_mydas,Ly6E,Ly-6,Ly6E,Secreted,MKI,10.0,4.080511,2,2.0,False,12.268345,4.3241186,7.5760183,0.5436266,0.7083138055792836,0.2289574786170314,-0.0609890492841589,,-40.28549,24.54125,15.05503,6.9791827,5.426793
None|Chmy_13|Chelonia_mydas,Reptilian Ly6 group 6,Ly-6,Reptilian Ly6 group 6,Membrane,,11.0,-3.4249802,2,,False,5.8923955,-3.3478632,4.9911942,-0.43860853,1.0682717832693889,0.0119258601267725,0.4280171994123752,,48.952824,32.34448,22.612568,-6.5518193,1.0523304
None|Chmy_2|Chelonia_mydas,SLURP1,Ly-6,SLURP1,Membrane,MKV,10.0,-4.8066034,2,2.0,False,6.0203967,-4.221929,5.0714197,0.6266466,1.1295727726343971,-0.0428600637711286,0.3624240848918899,,48.307056,37.151073,25.352251,-3.9154425,2.273942
None|Chmy_3|Chelonia_mydas,LYPD2,Ly-6,LYPD2,Membrane,MKG,11.0,-4.2833266,2,2.0,False,5.72506,-3.817264,4.5934205,0.4108739,1.041792911848027,0.0043062640862492,0.3348687762716849,,49.463898,35.449078,24.797329,-5.3722324,4.1933656
None|Chmy_4|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,,10.0,-2.3702567,2,,False,5.3878613,-3.6676252,4.9953017,-1.1078304,0.9920909279042476,0.3186198933875877,0.4542287001919908,,54.733788,29.02741,23.459377,-8.931569,-2.4767385
None|Chmy_5|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10.0,-2.2149448,2,2.0,False,5.372841,-3.658662,5.2075615,-1.2816114,1.0123055440320907,0.3782629795589922,0.425166350530422,,54.844166,29.295269,23.472355,-9.553522,-2.2935636
None|Chmy_6|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MLQ,9.0,-2.7837086,2,2.0,False,5.409214,-3.7366488,5.0527735,-0.81644475,0.8715913272801228,0.112469451188341,0.3444638733812373,,54.602825,32.009872,25.310226,-8.458312,-0.7341527
None|Chmy_7|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MLS,10.0,-2.3265426,2,2.0,False,5.49964,-3.4711916,5.169553,-1.2512972,0.9452699270463712,0.3038859471885465,0.4977099934021391,,54.672005,28.704292,22.863478,-9.1801605,-2.5990727
None|Chmy_9|Chelonia_mydas,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Membrane,MKA,10.0,-3.1527872,2,2.0,False,6.1231236,-2.8443966,4.3265452,-0.24186349,0.8476618981387448,0.0058368084309563,0.3347827799720296,,45.899067,27.649311,21.217457,-9.387612,4.2118053
None|Povi_1|Pogona_vitticeps,PSCA,Ly-6,PSCA,Membrane,MTP,11.0,-2.970988,2,2.0,False,6.0715675,-2.930809,4.7966905,-0.5775208,0.9960588134588434,0.1286531311921498,0.4048557313321918,,49.650074,28.64124,20.677557,-8.451011,0.7490725
None|Povi_10|Pogona_vitticeps,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Secreted,MKT,9.0,7.4548626,2,2.0,False,11.496938,5.880493,8.182262,3.372292,0.2513736221171979,-0.1897797822491476,0.1508877652696407,,-17.489498,-2.0914783,4.4992433,-3.38639,1.172381
None|Povi_11|Pogona_vitticeps,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Membrane,MKT,10.0,-3.6140783,2,2.0,False,5.5899186,-3.625954,4.4023285,-0.2510691,1.059859442734946,-0.0243611207206404,0.3432281047191607,,51.240086,33.56745,24.039276,-7.658275,3.1376765
None|Povi_12|Pogona_vitticeps,Reptilian Ly6 group 6,Ly-6,Reptilian Ly6 group 6,Membrane,MKV,10.0,-3.0818496,2,2.0,False,5.9111023,-3.3985488,5.0926137,-0.49526912,0.9201794490498144,0.0019034690162556,0.4347918626230308,,48.697033,31.880417,21.916983,-6.75293,0.7692788
None|Povi_3|Pogona_vitticeps,LYPD2,Ly-6,LYPD2,Membrane,MVE,12.0,-4.4625487,2,2.0,False,5.7977586,-4.1313934,4.698205,0.43293157,1.0823253351778703,-0.0303214968878331,0.3842500326058417,,49.227333,36.12882,25.279274,-4.9991064,3.4004266
None|Povi_5|Pogona_vitticeps,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,,10.0,-2.581343,2,,False,5.304145,-3.5075283,5.2129655,-1.3288469,0.9516571349799008,0.2492169955986931,0.3746713213464828,,54.531517,30.630547,24.236223,-10.092659,-0.7993699
None|Povi_6|Pogona_vitticeps,Reptilian Ly6 group 1-2,Ly-6,Reptilian Ly6 group 1-2,Membrane,MKA,10.0,-2.8796322,2,2.0,False,5.6612144,-3.454164,4.993614,-0.64555025,1.0169574986559535,0.1554557910931361,0.3666646356394352,,51.60043,30.788921,23.012638,-8.293562,0.20588812
None|Povi_7|Pogona_vitticeps,Ly6 unique,Ly-6,Ly6 unique,Membrane,MKA,10.0,-3.2835703,4,4.0,False,6.4692664,-3.000102,4.621385,0.1603378,0.9622839175355596,-0.0416460421799765,0.2904871036127842,,47.40701,30.944216,21.870619,-6.345913,4.4497776
None|Povi_8|Pogona_vitticeps,Reptilian Ly6 group 7,Ly-6,Reptilian Ly6 group 7,Membrane,,10.0,-3.4792733,4,,False,6.3276377,-3.0373926,4.667544,0.013386355,0.9347118235353056,-0.1654020338140183,0.4099086494383918,,46.832943,30.38508,21.094889,-6.297837,3.4016733
None|Povi_9|Pogona_vitticeps,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Secreted,MKT,11.0,4.104599,2,2.0,False,12.361583,4.3488507,7.507529,0.3234581,0.7088696174242566,-0.0142600848072778,-0.2812945630966908,,-40.967014,22.43045,13.956318,7.0412564,3.3808029
None|Povi_4|Pogona_vitticeps,Reptilian Ly6 group 5,Ly-6,Reptilian Ly6 group 5,Membrane,MMA,10.0,-3.285603,1,2.0,False,6.7392526,-2.5602052,4.73236,-0.050698377,0.7664136068841103,-0.0667060831995497,0.3406623681739886,,44.1706,28.645794,18.789389,-7.8717155,3.703116
None|Anca_1|Anolis_carolinensis,PSCA,Ly-6,PSCA,Membrane,MKV,10.0,-2.7730808,2,2.0,False,6.317068,-2.89956,5.071794,-0.6243453,0.9776956244275464,0.1213526186585731,0.3859044510960973,,49.862473,28.193796,20.258274,-7.813433,0.37406057
None|Anca_10|Anolis_carolinensis,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Membrane,MKT,10.0,-3.8853745,2,2.0,False,5.660816,-3.6257608,4.280017,-0.15943702,1.0674864281578968,-0.0952252056297245,0.3706788190359288,,51.561718,33.972706,23.768831,-7.413693,3.7443678
None|Anca_2|Anolis_carolinensis,SLURP1,Ly-6,SLURP1,Membrane,MNV,10.0,-4.7052827,2,2.0,False,6.216795,-4.029675,4.8895826,0.7306994,1.1201362874036136,-0.0284564105904995,0.345951236047453,,48.137253,36.818836,24.951876,-3.929,2.894576
None|Anca_3|Anolis_carolinensis,LYPD2,Ly-6,LYPD2,Membrane,MEK,10.0,-4.4261794,2,2.0,False,5.5739217,-4.1245446,4.5456147,0.33505026,1.0644661903487411,0.0483445445243276,0.3930187377540353,,49.597675,35.539963,24.868887,-5.62058,3.8459685
None|Anca_5|Anolis_carolinensis,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10.0,-2.4534793,2,2.0,False,5.2461963,-3.7298245,5.2580585,-1.1202621,0.9709215654013492,0.2595672163943107,0.3631755868144026,,54.42775,30.444426,24.26455,-9.775783,-1.3011332
